ID,x,y,width,height,min,trim,max,color,x2,y2,direction,datacolor,databorder
servo-left-wing-1,76,191,10,10,800,1000,2200,gray,76,271,down,pink,gray
servo-left-wing-2,182,193,18,18,800,1000,2200,gray,182,293,down,pink,gray
servo-left-wing-3,243,193,18,18,800,1000,2200,gray,243,293,down,pink,gray
servo-nose,303,69,8,26,800,1000,2200,gray,160,69,left,pink,gray
servo-right-wing-1,354,193,18,18,800,1000,2200,gray,354,293,down,pink,gray
servo-right-wing-2,416,193,18,18,800,1000,2200,gray,416,293,down,pink,gray
servo-right-wing-3,529,191,10,10,800,1000,2200,gray,529,271,down,pink,gray
servo-left-rudder,208,425,5,10,800,1000,2200,gray,140,425,left,pink,gray
servo-tail,298,432,15,8,800,1000,2200,gray,298,480,down,pink,gray
servo-right-rudder,405,425,5,10,800,1000,2200,gray,473,425,right,pink,gray
servo-left-fan,216,100,7,7,800,1000,2200,gray,106,100,left,pink,gray
servo-right-fan,392,100,7,7,800,1000,2200,gray,502,100,right,pink,gray
